6.7064,6.9278,7.1484,7.3681,7.587,7.8056,8.0236,8.2414,8.4586,8.6759,8.8928,9.1095,9.3264,9.5436,9.7609,9.9789,10.198,10.417,10.639,10.863,11.091,11.327,11.578,11.872,-12.939,-13.19,-13.426,-13.654,-13.878,-14.1,-14.32,-14.538,-14.756,-14.973,-15.191,-15.408,-15.624,-15.841,-16.058,-16.276,-16.493,-16.711,-16.93,-17.149,-17.369,-17.589,-17.811,0,0,0,0,0
6.7673,6.9873,7.2064,7.4251,7.6431,7.8603,8.0773,8.2939,8.5101,8.7259,8.9417,9.1573,9.3728,9.5884,9.8042,10.02,10.237,10.454,10.673,10.894,11.118,11.347,11.586,11.853,-13.026,-13.266,-13.494,-13.718,-13.939,-14.158,-14.375,-14.592,-14.808,-15.024,-15.239,-15.455,-15.671,-15.886,-16.102,-16.318,-16.535,-16.752,-16.969,-17.187,-17.406,-17.625,-17.845,0,0,0,0,0
6.8263,7.0449,7.2624,7.4797,7.6961,7.9119,8.1274,8.3424,8.5572,8.7716,8.9858,9.1997,9.4136,9.6274,9.8413,10.055,10.27,10.485,10.7,10.917,11.135,11.357,11.585,11.828,12.129,-12.866,-13.109,-13.337,-13.559,-13.777,-13.994,-14.21,-14.424,-14.639,-14.853,-15.067,-15.281,-15.495,-15.709,-15.923,-16.137,-16.352,-16.567,-16.782,-16.998,-17.215,-17.432,-17.649,-17.868,0,0,0
6.8819,7.0986,7.3147,7.53,7.7447,7.9589,8.1728,8.3861,8.5992,8.8119,9.0244,9.2367,9.4489,9.6608,9.8725,10.084,10.296,10.509,10.721,10.934,11.148,11.363,11.581,11.805,12.048,-12.954,-13.179,-13.397,-13.612,-13.826,-14.039,-14.251,-14.463,-14.675,-14.887,-15.099,-15.311,-15.523,-15.735,-15.948,-16.161,-16.374,-16.587,-16.801,-17.015,-17.23,-17.445,-17.661,-17.878,0,0,0
6.9326,7.1473,7.3615,7.5751,7.7879,8.0007,8.2126,8.4243,8.6357,8.8468,9.0576,9.2682,9.4785,9.6887,9.8987,10.109,10.318,10.528,10.738,10.948,11.158,11.368,11.579,11.791,12.008,12.242,-12.798,-13.015,-13.227,-13.438,-13.648,-13.858,-14.068,-14.278,-14.488,-14.697,-14.907,-15.117,-15.327,-15.538,-15.748,-15.959,-16.17,-16.382,-16.593,-16.805,-17.018,-17.231,-17.445,-17.658,-17.873,0
6.9774,7.1902,7.4024,7.6141,7.8255,8.0363,8.2469,8.4572,8.6669,8.8766,9.086,9.2949,9.5038,9.7127,9.921,10.13,10.338,10.546,10.754,10.962,11.17,11.377,11.585,11.793,12,12.208,-12.831,-13.039,-13.246,-13.454,-13.662,-13.87,-14.077,-14.285,-14.494,-14.702,-14.91,-15.119,-15.328,-15.537,-15.745,-15.955,-16.165,-16.374,-16.585,-16.795,-17.006,-17.217,-17.429,-17.641,-17.854,0
7.0157,7.2268,7.4373,7.6476,7.8573,8.0668,8.2759,8.4848,8.6934,8.9021,9.1101,9.3182,9.5262,9.734,9.9418,10.15,10.357,10.565,10.773,10.98,11.189,11.397,11.607,11.819,12.037,12.286,-12.799,-13.017,-13.229,-13.439,-13.647,-13.856,-14.063,-14.271,-14.479,-14.686,-14.894,-15.102,-15.31,-15.518,-15.726,-15.934,-16.143,-16.351,-16.56,-16.769,-16.979,-17.188,-17.399,-17.609,-17.82,0
7.0477,7.2575,7.4666,7.6755,7.8841,8.0925,8.3005,8.5086,8.7166,8.9244,9.1319,9.3397,9.5472,9.755,9.9627,10.171,10.379,10.588,10.797,11.008,11.22,11.435,11.654,11.886,12.157,-12.935,-13.166,-13.386,-13.6,-13.812,-14.023,-14.232,-14.441,-14.649,-14.857,-15.065,-15.273,-15.481,-15.688,-15.896,-16.104,-16.311,-16.519,-16.728,-16.936,-17.145,-17.354,-17.563,-17.772,0,0,0
7.0742,7.2828,7.4908,7.6989,7.9069,8.1147,8.3222,8.53,8.7375,8.9453,9.153,9.3611,9.5694,9.778,9.9872,10.197,10.408,10.62,10.833,11.05,11.271,11.499,11.744,12.034,-13.042,-13.286,-13.515,-13.736,-13.952,-14.166,-14.378,-14.589,-14.799,-15.008,-15.216,-15.425,-15.632,-15.841,-16.048,-16.256,-16.464,-16.671,-16.879,-17.087,-17.295,-17.503,-17.711,0,0,0,0,0
7.0962,7.304,7.5117,7.7192,7.927,8.1348,8.3426,8.5504,8.7587,8.967,9.1759,9.3851,9.5951,9.8059,10.018,10.231,10.446,10.664,10.886,11.113,11.351,11.609,11.918,-13.127,-13.384,-13.622,-13.85,-14.072,-14.29,-14.505,-14.718,-14.93,-15.141,-15.35,-15.56,-15.769,-15.977,-16.185,-16.393,-16.601,-16.809,-17.016,-17.224,-17.432,-17.64,0,0,0,0,0,0,0
7.1151,7.3226,7.5304,7.7384,7.9465,8.1545,8.3631,8.572,8.7815,8.9915,9.2023,9.414,9.627,9.8412,10.058,10.276,10.499,10.726,10.961,11.209,11.479,11.805,-13.195,-13.465,-13.712,-13.947,-14.174,-14.397,-14.616,-14.832,-15.046,-15.259,-15.471,-15.682,-15.892,-16.101,-16.31,-16.519,-16.727,-16.935,-17.143,-17.351,-17.558,0,0,0,0,0,0,0,0,0
7.1324,7.3407,7.5491,7.7577,7.9668,8.1763,8.3863,8.5971,8.8088,9.0213,9.2352,9.4505,9.6677,9.8874,10.11,10.338,10.571,10.814,11.07,11.352,11.695,-13.25,-13.533,-13.789,-14.032,-14.265,-14.492,-14.715,-14.935,-15.152,-15.368,-15.582,-15.794,-16.006,-16.217,-16.427,-16.636,-16.845,-17.054,-17.262,-17.47,0,0,0,0,0,0,0,0,0,0,0
7.1504,7.3596,7.569,7.7793,7.9901,8.2015,8.414,8.6274,8.8421,9.0582,9.2762,9.4968,9.7201,9.9474,10.18,10.419,10.668,10.934,11.228,11.585,-13.301,-13.595,-13.86,-14.11,-14.349,-14.582,-14.809,-15.032,-15.252,-15.471,-15.687,-15.902,-16.115,-16.327,-16.539,-16.75,-16.96,-17.169,-17.378,0,0,0,0,0,0,0,0,0,0,0,0,0
